"gene_id"	"transcript_id"	"gene_sympol"	"gene_name"	"pfam_sympol"	"seed_ortholog"	"evalue"
"ptg000007lG001215"	"ptg000007lG001215.mRNA1"	"ZNRF2"	"Zinc and ring finger"	"zf-RING_2"	"215358.XP_010737414.1"	1.04e-111
"ptg000007lG001216"	"ptg000007lG001216.mRNA1"	"FZD1"	"Belongs to the G-protein coupled receptor Fz Smo family"	"Frizzled,Fz"	"215358.XP_010737415.1"	0
"ptg000007lG001217"	"ptg000007lG001217.mRNA1"	"CDK14"	"Cyclin-dependent kinase"	"Pkinase"	"215358.XP_010737417.1"	1.32e-305
"ptg000007lG001218"	"ptg000007lG001218.mRNA1"	"-"	"Pituitary tumor-transforming gene 1 protein-interacting protein-like"	"-"	"215358.XP_010753188.1"	2.54e-119
"ptg000007lG001220"	"ptg000007lG001220.mRNA1"	"-"	"Transposase IS4"	"DDE_Tnp_1_7"	"8128.ENSONIP00000008882"	3.37e-85
"ptg000007lG001221"	"ptg000007lG001221.mRNA1"	"-"	"Domain of unknown function (DUF4371)"	"DUF4371"	"7897.ENSLACP00000011358"	6.95e-82
"ptg000007lG001222"	"ptg000007lG001222.mRNA1"	"-"	"-"	"THAP"	"215358.XP_010728218.1"	2.93e-23
"ptg000007lG001223"	"ptg000007lG001223.mRNA1"	"-"	"Domain of unknown function (DUF4371)"	"DUF4371"	"7897.ENSLACP00000011358"	2.01e-68
"ptg000007lG001228"	"ptg000007lG001228.mRNA1"	"TSNARE1"	"t-SNARE domain containing 1"	"Myb_DNA-bind_5,SNARE,Syntaxin_2"	"215358.XP_010746512.1"	2.76e-90
"ptg000007lG001232"	"ptg000007lG001232.mRNA1"	"BAI1"	"Brain-specific angiogenesis inhibitor"	"7tm_2,GAIN,GPS,HRM,TSP_1"	"144197.XP_008277515.1"	0
"ptg000007lG001233"	"ptg000007lG001233.mRNA1"	"BAI1"	"Brain-specific angiogenesis inhibitor"	"7tm_2,GAIN,GPS,HRM,TSP_1"	"144197.XP_008277515.1"	0
"ptg000007lG001234"	"ptg000007lG001234.mRNA1"	"-"	"Si ch211-198c19.1"	"-"	"48698.ENSPFOP00000022778"	3.78e-78
"ptg000007lG001235"	"ptg000007lG001235.mRNA1"	"CEP162"	"Centrosomal protein"	"-"	"215358.XP_010750979.1"	0
"ptg000007lG001236"	"ptg000007lG001236.mRNA1"	"-"	"Si ch211-208g1.1"	"-"	"8153.XP_005951146.1"	6.01e-52
"ptg000007lG001237"	"ptg000007lG001237.mRNA1"	"-"	"-"	"DDE_Tnp_IS1595,HECT"	"32507.XP_006793792.1"	2.18e-11
"ptg000007lG001239"	"ptg000007lG001239.mRNA1"	"BCAR1"	"Breast cancer anti-estrogen resistance"	"DUF3513,SH3_1,SH3_9,Serine_rich"	"215358.XP_010754340.1"	0
"ptg000007lG001240"	"ptg000007lG001240.mRNA1"	"BCAR1"	"Breast cancer anti-estrogen resistance"	"DUF3513,SH3_1,SH3_9,Serine_rich"	"215358.XP_010754091.1"	7.87e-165
"ptg000007lG001241"	"ptg000007lG001241.mRNA1"	"CFDP1"	"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing"	"BCNT"	"215358.XP_010754267.1"	2.98e-199
"ptg000007lG001242"	"ptg000007lG001242.mRNA1"	"-"	"PiggyBac transposable element-derived protein"	"DDE_Tnp_1_7"	"48698.ENSPFOP00000015289"	5.67e-253
"ptg000007lG001244"	"ptg000007lG001244.mRNA1"	"GAL"	"galanin GMAP prepropeptide"	"GMAP,Galanin"	"144197.XP_008291297.1"	5.17e-58
"ptg000007lG001245"	"ptg000007lG001245.mRNA1"	"MTL5"	"Protein lin-54 homolog isoform X1"	"TCR"	"215358.XP_010754060.1"	6.3e-299
"ptg000007lG001246"	"ptg000007lG001246.mRNA1"	"PARD6A"	"Partitioning defective 6 homolog"	"PB1,PDZ"	"144197.XP_008291295.1"	1.26e-203
"ptg000007lG001252"	"ptg000007lG001252.mRNA1"	"NTRK3"	"Neurotrophic tyrosine kinase, receptor, type"	"I-set,LRRNT,LRR_8,Pkinase_Tyr,TPKR_C2"	"144197.XP_008291301.1"	3.56e-50
"ptg000007lG001253"	"ptg000007lG001253.mRNA1"	"NTRK3"	"Neurotrophic tyrosine kinase, receptor, type"	"I-set,LRRNT,LRR_8,Pkinase_Tyr,TPKR_C2"	"106582.XP_004556393.1"	0
"ptg000007lG001254"	"ptg000007lG001254.mRNA1"	"CycD"	"Cyclin, C-terminal domain"	"Cyclin_C,Cyclin_N"	"32507.XP_006782317.1"	1.36e-175
"ptg000007lG001260"	"ptg000007lG001260.mRNA1"	"-"	"-"	"-"	"7955.ENSDARP00000103412"	1.43e-216
"ptg000007lG001261"	"ptg000007lG001261.mRNA1"	"LRP5"	"lipoprotein receptor-related protein"	"FXa_inhibition,Ldl_recept_a,Ldl_recept_b"	"32507.XP_006782318.1"	0
"ptg000007lG001262"	"ptg000007lG001262.mRNA1"	"C11orf24"	"Chromosome 11 open reading frame 24"	"-"	"215358.XP_010744841.1"	6.16e-22
"ptg000007lG001263"	"ptg000007lG001263.mRNA1"	"Cox8b"	"Cytochrome oxidase c subunit VIII"	"COX8"	"144197.XP_008292677.1"	1.01e-26
"ptg000007lG001264"	"ptg000007lG001264.mRNA1"	"TMEM170A"	"Putative transmembrane protein 170"	"Tmemb_170"	"215358.XP_010744838.1"	2.26e-28
"ptg000007lG001265"	"ptg000007lG001265.mRNA1"	"PPP6R3"	"phosphatase 6 regulatory subunit 3"	"SAPS"	"215358.XP_010744833.1"	0
"ptg000007lG001266"	"ptg000007lG001266.mRNA1"	"RIC8A"	"Resistance to inhibitors of cholinesterase 8 homolog A"	"Ric8"	"215358.XP_010744832.1"	0
"ptg000007lG001267"	"ptg000007lG001267.mRNA1"	"RLTPR"	"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing"	"CARMIL_C,LRR_6"	"215358.XP_010744831.1"	0
"ptg000007lG001268"	"ptg000007lG001268.mRNA1"	"RLTPR"	"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing"	"CARMIL_C,LRR_6"	"32507.XP_006782761.1"	1.66e-235
"ptg000007lG001269"	"ptg000007lG001269.mRNA1"	"RLTPR"	"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing"	"CARMIL_C,LRR_6"	"215358.XP_010744840.1"	4.31e-186
"ptg000007lG001270"	"ptg000007lG001270.mRNA1"	"CTCF"	"CCCTC-binding factor (zinc finger protein)"	"zf-C2H2,zf-H2C2_5"	"215358.XP_010744829.1"	0
"ptg000007lG001271"	"ptg000007lG001271.mRNA1"	"FAM65A"	"Family with sequence similarity 65 member A"	"HEAT_2,PL48"	"215358.XP_010744839.1"	0
"ptg000007lG001272"	"ptg000007lG001272.mRNA1"	"DNAJC24"	"homolog, subfamily C, member 24"	"DnaJ,zf-CSL"	"144197.XP_008279871.1"	8.52e-50
"ptg000007lG001275"	"ptg000007lG001275.mRNA1"	"PAX6"	"Paired box"	"Homeobox,PAX"	"215358.XP_010753166.1"	7.9e-257
"ptg000007lG001277"	"ptg000007lG001277.mRNA1"	"-"	"Zinc finger protein"	"zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met"	"215358.XP_010749265.1"	6.68e-129
"ptg000007lG001278"	"ptg000007lG001278.mRNA1"	"ANO1"	"Anoctamin 1, calcium activated chloride channel"	"Anoct_dimer,Anoctamin"	"215358.XP_010749264.1"	0
"ptg000007lG001279"	"ptg000007lG001279.mRNA1"	"ANO1"	"Anoctamin 1, calcium activated chloride channel"	"Anoct_dimer,Anoctamin"	"215358.XP_010749264.1"	1.29e-188
"ptg000007lG001280"	"ptg000007lG001280.mRNA1"	"-"	"Transmembrane protein C12orf23, UPF0444"	"UPF0444"	"215358.XP_010753333.1"	4.44e-77
"ptg000007lG001281"	"ptg000007lG001281.mRNA1"	"chst1"	"Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1"	"Sulfotransfer_1"	"8153.XP_005933599.1"	5.48e-181
"ptg000007lG001282"	"ptg000007lG001282.mRNA1"	"KLHL25"	"Kelch-like family member 25"	"BACK,BTB,Kelch_1"	"215358.XP_010752491.1"	0
"ptg000007lG001284"	"ptg000007lG001284.mRNA1"	"AKAP13"	"regulation of glucocorticoid mediated signaling pathway"	"PH,RhoGEF"	"215358.XP_010747197.1"	0
"ptg000007lG001285"	"ptg000007lG001285.mRNA1"	"SV2B"	"Synaptic vesicle glycoprotein"	"MFS_1,Pentapeptide_4,Sugar_tr"	"215358.XP_010751788.1"	0
"ptg000007lG001286"	"ptg000007lG001286.mRNA1"	"-"	"Peptidase family M1 domain"	"ERAP1_C,Peptidase_M1"	"215358.XP_010751787.1"	0
"ptg000007lG001287"	"ptg000007lG001287.mRNA1"	"ANPEP"	"Alanyl (membrane) aminopeptidase b"	"ERAP1_C,Peptidase_M1"	"215358.XP_010751786.1"	0
"ptg000007lG001288"	"ptg000007lG001288.mRNA1"	"L1TD1"	"L1 transposable element RBD-like domain"	"Tnp_22_dsRBD,Tnp_22_trimer,Transposase_22"	"7897.ENSLACP00000002414"	4.27e-16
"ptg000007lG001290"	"ptg000007lG001290.mRNA1"	"SLX4"	"structure-specific endonuclease subunit"	"BTB,Slx4"	"144197.XP_008301479.1"	7.47e-106
"ptg000007lG001291"	"ptg000007lG001291.mRNA1"	"DYX1C1"	"Dyslexia susceptibility 1 candidate"	"CS,TPR_8"	"215358.XP_010754275.1"	2.42e-275
"ptg000007lG001294"	"ptg000007lG001294.mRNA1"	"-"	"Si ch211-208g1.1"	"-"	"8153.XP_005951146.1"	1.39e-77
"ptg000007lG001298"	"ptg000007lG001298.mRNA1"	"GIS2"	"zinc ion binding"	"zf-CCHC,zf-CCHC_4"	"8153.XP_005938065.1"	3.19e-36
"ptg000007lG001299"	"ptg000007lG001299.mRNA1"	"ZCCHC3"	"Zinc finger, CCHC domain containing 3"	"zf-CCHC"	"69293.ENSGACP00000000996"	1.63e-39
"ptg000007lG001300"	"ptg000007lG001300.mRNA1"	"ZCCHC3"	"Zinc finger CCHC"	"zf-CCHC"	"7918.ENSLOCP00000000323"	6.35e-21
"ptg000009lG000002"	"ptg000009lG000002.mRNA1"	"-"	"protein ubiquitination"	"Ank_2,DUF3496"	"215358.XP_010752234.1"	7.84e-36
"ptg000009lG000003"	"ptg000009lG000003.mRNA1"	"SLC16A12"	"Solute carrier family 16 (monocarboxylic acid transporters), member 12b"	"MFS_1"	"215358.XP_010753479.1"	7.87e-305
"ptg000009lG000004"	"ptg000009lG000004.mRNA1"	"KIF20B"	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family"	"Kinesin"	"215358.XP_010753486.1"	0
"ptg000009lG000006"	"ptg000009lG000006.mRNA1"	"BBS1"	"Bardet-Biedl syndrome 1"	"BBS1"	"215358.XP_010753481.1"	0
"ptg000009lG000007"	"ptg000009lG000007.mRNA1"	"LECT2"	"Leukocyte cell-derived"	"Peptidase_M23"	"215358.XP_010753482.1"	9.2e-88
"ptg000009lG000008"	"ptg000009lG000008.mRNA1"	"MFAP4"	"Microfibrillar-associated protein 4"	"Fibrinogen_C"	"215358.XP_010753668.1"	3.22e-135
"ptg000009lG000009"	"ptg000009lG000009.mRNA1"	"MFAP4"	"Microfibrillar-associated protein 4"	"Fibrinogen_C"	"215358.XP_010751110.1"	7.05e-153
"ptg000009lG000010"	"ptg000009lG000010.mRNA1"	"ASAH2"	"N-acylsphingosine amidohydrolase 2"	"Ceramidase_alk,Ceramidse_alk_C"	"215358.XP_010751111.1"	8.29e-211
"ptg000009lG000011"	"ptg000009lG000011.mRNA1"	"FAM13C"	"Family with sequence similarity 13, member C"	"-"	"215358.XP_010751112.1"	1.5e-255
"ptg000009lG000012"	"ptg000009lG000012.mRNA1"	"prkg1"	"cGMP-dependent protein kinase"	"PKcGMP_CC,Pkinase,cNMP_binding"	"215358.XP_010751104.1"	0
"ptg000009lG000013"	"ptg000009lG000013.mRNA1"	"A1CF"	"Apobec1 complementation"	"DND1_DSRM,RRM_1"	"215358.XP_010753704.1"	0
"ptg000009lG000014"	"ptg000009lG000014.mRNA1"	"-"	"Scavenger receptor Cys-rich"	"SRCR,VWA"	"215358.XP_010753705.1"	0
"ptg000009lG000015"	"ptg000009lG000015.mRNA1"	"-"	"phytanoyl-CoA hydroxylase-interacting protein-like"	"fn3"	"215358.XP_010753706.1"	9.12e-247
"ptg000009lG000016"	"ptg000009lG000016.mRNA1"	"SUN1"	"Sad1 and UNC84 domain containing 1"	"MRP,Sad1_UNC"	"215358.XP_010753702.1"	0
"ptg000009lG000017"	"ptg000009lG000017.mRNA1"	"MFAP4"	"Microfibrillar-associated protein 4"	"Fibrinogen_C"	"215358.XP_010753668.1"	4.92e-151
"ptg000009lG000018"	"ptg000009lG000018.mRNA1"	"MFAP4"	"Microfibrillar-associated protein 4"	"Fibrinogen_C"	"215358.XP_010753668.1"	2.96e-110
"ptg000009lG000019"	"ptg000009lG000019.mRNA1"	"MFAP4"	"Microfibrillar-associated protein 4"	"Fibrinogen_C"	"215358.XP_010753668.1"	5.14e-155
"ptg000009lG000021"	"ptg000009lG000021.mRNA1"	"RAB40B"	"RAB40B, member RAS oncogene family"	"Ras,SOCS_box"	"215358.XP_010753662.1"	4.99e-209
"ptg000009lG000022"	"ptg000009lG000022.mRNA1"	"CBX2"	"Chromobox homolog 2"	"CBX7_C,Chromo"	"215358.XP_010740857.1"	1.42e-264
"ptg000009lG000023"	"ptg000009lG000023.mRNA1"	"NOG"	"Belongs to the noggin family"	"Noggin"	"215358.XP_010740858.1"	2.52e-169
"ptg000009lG000024"	"ptg000009lG000024.mRNA1"	"ANKFN1"	"Ankyrin-repeat and fibronectin type III domain containing 1"	"Ank_4,RA,fn3"	"215358.XP_010740860.1"	0
"ptg000009lG000025"	"ptg000009lG000025.mRNA1"	"-"	"-"	"-"	"215358.XP_010740861.1"	3.14e-109
"ptg000009lG000026"	"ptg000009lG000026.mRNA1"	"-"	"DNA-templated transcription, initiation"	"TBP"	"215358.XP_010740862.1"	2.04e-158
"ptg000009lG000027"	"ptg000009lG000027.mRNA1"	"tmem100"	"Transmembrane protein 100-like"	"TMEM100"	"215358.XP_010740852.1"	1.06e-106
"ptg000009lG000028"	"ptg000009lG000028.mRNA1"	"-"	"glycyl-tRNA aminoacylation"	"-"	"8090.ENSORLP00000018728"	6.66e-57
"ptg000009lG000029"	"ptg000009lG000029.mRNA1"	"HLF"	"Hepatic leukemia"	"bZIP_2"	"215358.XP_010740853.1"	1.99e-153
"ptg000009lG000030"	"ptg000009lG000030.mRNA1"	"STXBP4"	"Syntaxin binding protein 4"	"PDZ,WW"	"303518.XP_005752835.1"	4.12e-17
"ptg000009lG000031"	"ptg000009lG000031.mRNA1"	"STXBP4"	"Syntaxin binding protein 4"	"PDZ,WW"	"215358.XP_010740863.1"	0
"ptg000009lG000032"	"ptg000009lG000032.mRNA1"	"TNKS2"	"Tankyrase-2-like"	"Ank,Ank_2,Ank_3,Ank_4,Ank_5,PARP,SAM_2"	"215358.XP_010740864.1"	0
"ptg000009lG000035"	"ptg000009lG000035.mRNA1"	"dop-1"	"dopamine receptor"	"7tm_1"	"215358.XP_010740865.1"	4.36e-305
"ptg000009lG000036"	"ptg000009lG000036.mRNA1"	"CCSER2"	"Serine-rich coiled-coil domain-containing protein"	"-"	"215358.XP_010740866.1"	0
"ptg000009lG000037"	"ptg000009lG000037.mRNA1"	"GRID1"	"Glutamate receptor, ionotropic"	"ANF_receptor,Lig_chan,Lig_chan-Glu_bd"	"215358.XP_010740856.1"	3.7e-256
"ptg000009lG000038"	"ptg000009lG000038.mRNA1"	"GRID1"	"Glutamate receptor, ionotropic"	"ANF_receptor,Lig_chan,Lig_chan-Glu_bd"	"215358.XP_010740856.1"	1.59e-270
"ptg000009lG000039"	"ptg000009lG000039.mRNA1"	"GRID1"	"Eukaryotic homologues of bacterial periplasmic substrate binding proteins."	"ANF_receptor,Lig_chan,Lig_chan-Glu_bd"	"9478.XP_008049475.1"	1.21e-87
"ptg000009lG000040"	"ptg000009lG000040.mRNA1"	"GRID1"	"Glutamate receptor, ionotropic"	"ANF_receptor,Lig_chan,Lig_chan-Glu_bd"	"32507.XP_006793424.1"	1.83e-42
"ptg000009lG000041"	"ptg000009lG000041.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	3.29e-273
"ptg000009lG000042"	"ptg000009lG000042.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	1.13e-270
"ptg000009lG000043"	"ptg000009lG000043.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	1.39e-305
"ptg000009lG000044"	"ptg000009lG000044.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	0
"ptg000009lG000045"	"ptg000009lG000045.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	2.96e-294
"ptg000009lG000046"	"ptg000009lG000046.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	7.33e-305
"ptg000009lG000048"	"ptg000009lG000048.mRNA1"	"-"	"atonal homolog"	"HLH"	"144197.XP_008285372.1"	3.16e-101
"ptg000009lG000049"	"ptg000009lG000049.mRNA1"	"WAPAL"	"Wings apart-like"	"WAPL"	"215358.XP_010740683.1"	0
"ptg000009lG000050"	"ptg000009lG000050.mRNA1"	"PLEKHA1"	"Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1"	"PH"	"8128.ENSONIP00000023992"	3e-131
"ptg000009lG000051"	"ptg000009lG000051.mRNA1"	"HTRA1"	"HtrA serine peptidase 1b"	"IGFBP,Kazal_2,PDZ,PDZ_2,Trypsin_2"	"215358.XP_010740667.1"	0
"ptg000009lG000052"	"ptg000009lG000052.mRNA1"	"C10orf88"	"Chromosome 10 open reading frame 88"	"DUF4506"	"215358.XP_010740670.1"	1.02e-265
"ptg000009lG000053"	"ptg000009lG000053.mRNA1"	"ASB3"	"Ankyrin repeat and SOCS"	"Ank_2,Ank_3,Ank_4,SOCS_box"	"215358.XP_010740671.1"	0
"ptg000009lG000054"	"ptg000009lG000054.mRNA1"	"ABCA5"	"ATP-binding cassette sub-family A"	"ABC2_membrane_3,ABC_tran"	"215358.XP_010740672.1"	0
"ptg000009lG000055"	"ptg000009lG000055.mRNA1"	"HID1"	"High-temperature-induced dauer-formation protein"	"Hid1"	"8010.XP_010867771.1"	1.88e-76
"ptg000009lG000056"	"ptg000009lG000056.mRNA1"	"HID1"	"HID1 domain containing"	"Hid1"	"215358.XP_010740686.1"	0
"ptg000009lG000057"	"ptg000009lG000057.mRNA1"	"OTOP3"	"Otopetrin 3"	"Otopetrin"	"215358.XP_010740687.1"	3.34e-210
"ptg000009lG000058"	"ptg000009lG000058.mRNA1"	"OTOP3"	"Otopetrin 3"	"Otopetrin"	"215358.XP_010740687.1"	1.47e-170
"ptg000009lG000059"	"ptg000009lG000059.mRNA1"	"USH1G"	"Usher syndrome 1G (autosomal recessive)"	"Ank_2,Ank_4,SAM_1"	"215358.XP_010740673.1"	4.98e-297
"ptg000009lG000060"	"ptg000009lG000060.mRNA1"	"FADS6"	"Fatty acid desaturase 6"	"FA_desaturase"	"215358.XP_010740675.1"	1.87e-257
"ptg000009lG000061"	"ptg000009lG000061.mRNA1"	"TRIM16"	"Tripartite motif-containing"	"PRY,SPRY,zf-B_box"	"215358.XP_010740676.1"	0
"ptg000009lG000062"	"ptg000009lG000062.mRNA1"	"TVP23B"	"Golgi apparatus membrane protein TVP23 homolog"	"DUF846"	"215358.XP_010740677.1"	4.55e-143
"ptg000009lG000063"	"ptg000009lG000063.mRNA1"	"EXOC7"	"Exocyst complex component 7"	"Exo70"	"48698.ENSPFOP00000012348"	0
"ptg000009lG000064"	"ptg000009lG000064.mRNA1"	"GALR2"	"Galanin receptor"	"7tm_1"	"215358.XP_010740690.1"	5.89e-231
"ptg000009lG000065"	"ptg000009lG000065.mRNA1"	"KCNJ16"	"Potassium inwardly-rectifying channel, subfamily J, member 16"	"IRK"	"215358.XP_010740678.1"	6.52e-240
"ptg000009lG000066"	"ptg000009lG000066.mRNA1"	"KCNJ2"	"Potassium inwardly-rectifying channel, subfamily J, member 2a"	"IRK,IRK_N"	"215358.XP_010740679.1"	1.01e-305
"ptg000009lG000067"	"ptg000009lG000067.mRNA1"	"MAP2K6"	"mitogen-activated protein kinase kinase"	"Pkinase"	"215358.XP_010740680.1"	8.67e-220
"ptg000009lG000068"	"ptg000009lG000068.mRNA1"	"BTBD17"	"BTB (POZ) domain containing 17a"	"BACK,BTB"	"215358.XP_010740691.1"	0
"ptg000009lG000069"	"ptg000009lG000069.mRNA1"	"GPR142"	"G protein-coupled receptor 142"	"7tm_1"	"215358.XP_010740692.1"	1.66e-265
"ptg000009lG000070"	"ptg000009lG000070.mRNA1"	"GPRC5C"	"receptor family C group 5 member"	"7tm_3"	"215358.XP_010740681.1"	5.51e-305
"ptg000009lG000071"	"ptg000009lG000071.mRNA1"	"OXLD1"	"domain containing 1"	"Oxidored-like"	"144197.XP_008294352.1"	4.2e-63
"ptg000009lG000072"	"ptg000009lG000072.mRNA1"	"PDE6G"	"Phosphodiesterase 6G, cGMP-specific, rod, gamma"	"PDE6_gamma"	"215358.XP_010754906.1"	8.43e-59
"ptg000009lG000073"	"ptg000009lG000073.mRNA1"	"NPLOC4"	"Nuclear protein localization 4 homolog (S. cerevisiae)"	"NPL4,UN_NPL4,zf-NPL4"	"215358.XP_010750548.1"	0
"ptg000009lG000074"	"ptg000009lG000074.mRNA1"	"-"	"Si dkey-113d16.9"	"-"	"215358.XP_010750550.1"	2.76e-115
"ptg000009lG000075"	"ptg000009lG000075.mRNA1"	"rnf213"	"Ring finger protein 213b"	"zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3"	"215358.XP_010750545.1"	0
"ptg000009lG000076"	"ptg000009lG000076.mRNA1"	"CEP131"	"5-azacytidine induced gene 1"	"-"	"215358.XP_010750542.1"	0
"ptg000009lG000078"	"ptg000009lG000078.mRNA1"	"st6galnac2"	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase"	"Glyco_transf_29"	"215358.XP_010750541.1"	0
"ptg000009lG000079"	"ptg000009lG000079.mRNA1"	"-"	"-"	"-"	"8049.ENSGMOP00000010237"	1.04e-82
"ptg000009lG000081"	"ptg000009lG000081.mRNA1"	"-"	"Zinc finger protein"	"zf-AD,zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met"	"144197.XP_008285369.1"	1.62e-09
"ptg000009lG000082"	"ptg000009lG000082.mRNA1"	"-"	"Zinc finger protein"	"KRAB,zf-C2H2,zf-C2H2_6,zf-H2C2_2,zf-met"	"144197.XP_008302764.1"	6.69e-12
"ptg000009lG000084"	"ptg000009lG000084.mRNA1"	"-"	"Zinc finger protein"	"zf-AD,zf-C2H2,zf-C2H2_4,zf-C2H2_6,zf-met"	"144197.XP_008285369.1"	1.74e-09
"ptg000009lG000085"	"ptg000009lG000085.mRNA1"	"AATK-AS1"	"Parvalbumin beta-like"	"EF-hand_1,EF-hand_5,EF-hand_7"	"7918.ENSLOCP00000015948"	4.02e-61
"ptg000009lG000086"	"ptg000009lG000086.mRNA1"	"AATK"	"Serine threonine-protein kinase"	"Pkinase_Tyr"	"144197.XP_008285499.1"	1.55e-55
"ptg000009lG000087"	"ptg000009lG000087.mRNA1"	"AATK"	"Apoptosis-associated tyrosine kinase b"	"Pkinase_Tyr"	"215358.XP_010751192.1"	0
"ptg000009lG000088"	"ptg000009lG000088.mRNA1"	"BAIAP2"	"Brain-specific angiogenesis inhibitor 1-associated protein"	"IMD,SH3_9"	"32507.XP_006793316.1"	0
"ptg000009lG000089"	"ptg000009lG000089.mRNA1"	"CHMP6"	"Charged multivesicular body protein"	"Snf7"	"215358.XP_010751849.1"	3.6e-105
"ptg000009lG000090"	"ptg000009lG000090.mRNA1"	"-"	"-"	"-"	"215358.XP_010754501.1"	4.64e-302
"ptg000009lG000091"	"ptg000009lG000091.mRNA1"	"ELOVL3"	"Catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. Condensing enzyme that elongates fatty acids with 12, 14 and 16 carbons with higher activity toward C16 0 acyl-CoAs. Catalyzes the synthesis of unsaturated C16 long chain fatty acids and, to a lesser extent, C18 0 and those with low desaturation degree. May participate to the production of saturated and monounsaturated VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators"	"ELO"	"144197.XP_008291851.1"	4.55e-177
"ptg000009lG000092"	"ptg000009lG000092.mRNA1"	"-"	"Transmembrane protein 150A-like"	"Frag1"	"215358.XP_010751846.1"	8.45e-181
"ptg000009lG000093"	"ptg000009lG000093.mRNA1"	"MAT1A"	"Catalyzes the formation of S-adenosylmethionine from methionine and ATP"	"S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N"	"215358.XP_010751845.1"	2.06e-215
"ptg000009lG000094"	"ptg000009lG000094.mRNA1"	"-"	"Hormone receptor domain"	"7tm_2,HRM"	"144197.XP_008291854.1"	1.77e-67
"ptg000009lG000095"	"ptg000009lG000095.mRNA1"	"-"	"Hormone receptor domain"	"7tm_2,HRM"	"215358.XP_010751851.1"	2.89e-178
"ptg000009lG000097"	"ptg000009lG000097.mRNA1"	"MAPT"	"Microtubule-associated protein"	"Tubulin-binding"	"215358.XP_010751850.1"	6e-69
"ptg000009lG000098"	"ptg000009lG000098.mRNA1"	"KANSL1"	"KAT8 regulatory NSL complex subunit"	"PEHE"	"215358.XP_010750138.1"	0
"ptg000009lG000101"	"ptg000009lG000101.mRNA1"	"CRHR1"	"Corticotropin releasing hormone receptor 1"	"7tm_2,HRM"	"215358.XP_010750137.1"	1.57e-82
"ptg000009lG000102"	"ptg000009lG000102.mRNA1"	"FAM171A2"	"Family with sequence similarity 171 member A2"	"UPF0560"	"215358.XP_010750135.1"	0
"ptg000009lG000103"	"ptg000009lG000103.mRNA1"	"GRN"	"Granulin b"	"Granulin"	"215358.XP_010750134.1"	0
"ptg000009lG000104"	"ptg000009lG000104.mRNA1"	"MAP3K14"	"NF-kappaB-inducing kinase activity"	"Pkinase"	"215358.XP_010753413.1"	0
"ptg000009lG000105"	"ptg000009lG000105.mRNA1"	"GRB7"	"Growth factor receptor-bound protein"	"BPS,PH,RA,SH2"	"215358.XP_010753414.1"	2.96e-287
"ptg000009lG000106"	"ptg000009lG000106.mRNA1"	"SRCIN1"	"SRC kinase signaling inhibitor"	"AIP3"	"215358.XP_010751569.1"	0
"ptg000009lG000108"	"ptg000009lG000108.mRNA1"	"FMNL1"	"Formin-like"	"Drf_FH3,Drf_GBD,FH2"	"144197.XP_008293620.1"	0
"ptg000009lG000109"	"ptg000009lG000109.mRNA1"	"ccr10"	"Belongs to the G-protein coupled receptor 1 family"	"7tm_1"	"215358.XP_010741978.1"	1.1e-254
"ptg000009lG000110"	"ptg000009lG000110.mRNA1"	"RAMP2"	"Receptor activity-modifying protein"	"RAMP"	"215358.XP_010741972.1"	3.84e-153
"ptg000009lG000112"	"ptg000009lG000112.mRNA1"	"UGT2A3"	"Belongs to the UDP-glycosyltransferase family"	"UDPGT"	"69293.ENSGACP00000005893"	4.49e-305
"ptg000009lG000113"	"ptg000009lG000113.mRNA1"	"-"	"Endonuclease domain-containing 1 protein-like"	"Endonuclease_NS"	"215358.XP_010741971.1"	4.77e-250
"ptg000009lG000114"	"ptg000009lG000114.mRNA1"	"-"	"Cytolysin Src-1-like"	"Anemone_cytotox"	"215358.XP_010741970.1"	4.63e-135
